City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Lasa,IT,46.6166,10.7002,50.74,98,100,4.21,overcast clouds
196,Newark,US,40.7357,-74.1724,66.25,66,90,3.0,overcast clouds
197,Ambilobe,MG,-13.2,49.05,74.01,88,12,3.22,few clouds
198,Saint-Joseph,RE,-21.3667,55.6167,70.18,83,13,8.59,few clouds
199,Roma,US,43.2128,-75.4557,55.96,94,90,1.99,light rain
200,San Cristobal,VE,7.7669,-72.225,77.18,77,69,2.89,broken clouds
201,Hasaki,JP,35.7333,140.8333,57.6,87,100,7.78,overcast clouds
202,Bilma,NE,18.6853,12.9164,84.18,19,0,10.51,clear sky
203,Komsomolskiy,UZ,40.4272,71.7189,47.62,70,1,9.22,haze
204,Mahajanga,MG,-15.7167,46.3167,77.02,83,20,6.91,few clouds
205,New Norfolk,AU,-42.7826,147.0587,54.91,58,100,8.99,overcast clouds
206,Plymouth,US,41.8334,-70.8328,67.23,76,20,16.11,few clouds
207,Geraldton,AU,-28.7667,114.6,62.13,77,40,6.91,scattered clouds
208,Antofagasta,CL,-23.65,-70.4,65.48,59,0,5.7,clear sky
209,Matagami,CA,49.7502,-77.6328,48.31,81,90,4.61,overcast clouds
210,Fortuna,US,40.5982,-124.1573,64.47,71,75,5.01,broken clouds
211,Cherdyn,RU,60.403,56.4787,37.4,98,100,9.24,overcast clouds
212,Aldan,RU,58.6031,125.3894,22.91,88,100,7.54,overcast clouds
213,Lokosovo,RU,61.1333,74.8167,5.94,95,51,5.41,broken clouds
214,Yuanping,CN,38.7153,112.7575,41.38,54,0,1.79,clear sky
215,Gobabis,NA,-22.45,18.9667,77.88,6,0,12.93,clear sky
216,Santa Cruz,BO,-17.8,-63.1667,95.05,46,40,13.8,scattered clouds
217,Payson,US,40.0444,-111.7321,69.01,46,1,5.75,clear sky
218,Sola,VU,-13.8833,167.55,80.31,74,23,13.33,few clouds
219,Dukat,RU,62.55,155.55,-16.47,99,92,4.56,overcast clouds
220,Gouyave,GD,12.1646,-61.7296,84.97,66,20,16.11,few clouds
221,Belomorsk,RU,64.5232,34.7668,42.13,97,100,3.56,overcast clouds
222,Ambulu,ID,-8.345,113.6058,76.71,90,100,2.39,overcast clouds
223,Lorengau,PG,-2.0226,147.2712,81.39,79,100,11.61,overcast clouds
224,Abu Dhabi,AE,24.4667,54.3667,86.02,66,0,4.61,clear sky
225,Ginda,IN,30.6945,78.4932,48.43,45,0,5.55,clear sky
226,Chikodi,IN,16.4333,74.6,76.98,68,100,5.1,overcast clouds
227,Dicabisagan,PH,17.0818,122.4157,77.52,84,100,5.37,overcast clouds
228,Cambara,BR,-23.0464,-50.0736,68.09,88,100,4.99,overcast clouds
229,Grindavik,IS,63.8424,-22.4338,36.07,75,40,31.07,scattered clouds
230,Nanyamba,TZ,-10.6833,39.8333,72.41,89,4,5.99,clear sky
231,Saint-Augustin,CA,51.226,-58.6502,48.56,60,88,5.86,overcast clouds
232,Codrington,AU,-38.2667,141.9667,43.25,94,10,5.46,clear sky
233,La Ronge,CA,55.1001,-105.2842,32.25,69,90,9.22,overcast clouds
234,Virginia Beach,US,36.8529,-75.978,72.05,60,20,1.01,few clouds
235,Port Lincoln,AU,-34.7333,135.8667,58.55,79,0,10.67,clear sky
236,Churapcha,RU,62.0025,132.4325,10.11,94,100,11.7,light snow
237,Provideniya,RU,64.3833,-173.3,11.95,79,73,8.86,broken clouds
238,Yar-Sale,RU,66.8333,70.8333,4.28,94,63,4.9,broken clouds
239,Semnan,IR,35.5729,53.3971,60.24,53,74,1.7,broken clouds
240,Madang,PG,-5.2246,145.7966,77.58,89,100,3.67,overcast clouds
241,Sayyan,YE,15.1718,44.3244,57.45,54,76,11.07,broken clouds
242,Saldanha,ZA,-33.0117,17.9442,64.45,83,93,7.43,overcast clouds
243,Mahibadhoo,MV,3.7833,72.9667,83.08,74,18,16.89,few clouds
244,Hede,CN,33.7681,120.2517,58.8,65,100,3.78,overcast clouds
245,Vung Tau,VN,10.346,107.0843,80.64,81,25,14.56,scattered clouds
246,Tucuman,AR,-26.8241,-65.2226,93.2,31,20,18.41,light rain
247,Linxia,CN,35.6003,103.2064,42.06,72,100,1.79,overcast clouds
248,Alibag,IN,18.6411,72.8792,82.47,73,9,4.76,clear sky
249,Alegrete,BR,-29.7831,-55.7919,85.24,48,85,9.31,overcast clouds
250,Haines Junction,CA,60.7522,-137.5108,35.55,51,100,4.61,overcast clouds
251,Sulangan,PH,11.1373,123.7228,82.31,76,20,15.28,few clouds
252,Birin,NP,26.8865,88.0718,51.28,84,7,4.16,clear sky
253,Sitka,US,57.0531,-135.33,42.69,75,75,5.75,broken clouds
254,Quelimane,MZ,-17.8786,36.8883,78.75,83,20,11.99,few clouds
255,Severo-Kurilsk,RU,50.6789,156.125,34.84,64,99,26.46,light rain
256,Atbasar,KZ,51.8,68.3333,39.87,81,100,8.08,overcast clouds
257,Mount Isa,AU,-20.7333,139.5,78.57,19,26,4.61,light rain
258,Jintur,IN,19.6167,76.7,67.75,62,5,5.26,clear sky
259,Port Moresby,PG,-9.4431,147.1797,76.37,88,100,2.35,overcast clouds
260,Gao,ML,16.6362,1.637,89.13,12,74,9.84,broken clouds
261,Camargo,MX,27.6667,-105.1667,79.56,18,8,4.83,clear sky
262,Kamaishi,JP,39.2667,141.8833,53.78,79,4,5.26,clear sky
263,Yaan,NG,7.3833,8.5667,79.77,71,76,4.72,broken clouds
264,Yakeshi,CN,49.2833,120.7333,25.29,38,12,3.53,few clouds
265,Touros,BR,-5.1989,-35.4608,85.1,68,47,15.61,scattered clouds
266,Uberaba,BR,-19.7483,-47.9319,72.18,83,90,9.22,light rain
267,Cayenne,GF,4.9333,-52.3333,87.84,76,20,5.01,few clouds
268,Northam,GB,51.0333,-4.2167,54.14,72,14,28.97,few clouds
269,Sept-Iles,CA,50.2001,-66.3821,47.05,96,90,13.0,mist
270,Kapuskasing,CA,49.4169,-82.4331,39.29,100,90,5.75,mist
271,Starogard Gdanski,PL,53.964,18.5264,53.89,69,71,7.56,broken clouds
272,Taoudenni,ML,22.6783,-3.9836,87.19,16,0,9.24,clear sky
273,Bontang,ID,0.1333,117.5,79.41,86,100,9.46,overcast clouds
274,Oranjemund,NA,-28.55,16.4333,63.3,72,100,8.81,overcast clouds
275,Balkanabat,TM,39.5108,54.3671,59.68,47,98,11.86,overcast clouds
276,Luderitz,NA,-26.6481,15.1594,60.22,85,9,5.86,clear sky
277,Esperance,AU,-33.8667,121.9,64.24,53,100,17.0,overcast clouds
278,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,44.46,98,100,3.96,light rain
279,San Quintin,MX,30.4833,-115.95,67.12,66,1,9.35,clear sky
280,Policka,CZ,49.7146,16.2654,50.58,76,100,22.1,overcast clouds
281,Fairbanks,US,64.8378,-147.7164,44.56,49,40,11.5,scattered clouds
282,Pafos,CY,34.7667,32.4167,71.51,53,20,2.3,few clouds
283,Kuytun,RU,54.3419,101.5036,29.88,81,93,8.14,overcast clouds
284,Dingle,PH,10.9995,122.6711,74.97,89,100,7.14,overcast clouds
285,Salalah,OM,17.0151,54.0924,78.46,59,7,1.97,clear sky
286,Anadyr,RU,64.75,177.4833,-3.5,76,0,13.0,clear sky
287,Swift Current,CA,50.2834,-107.8014,31.01,64,1,12.66,clear sky
288,Znin,PL,52.8496,17.7199,55.33,65,44,9.91,scattered clouds
289,Bara,NG,10.3744,10.7288,81.01,27,100,0.89,overcast clouds
290,Kysyl-Syr,RU,63.8986,122.7617,13.78,91,21,6.31,few clouds
291,Adrar,MR,20.5022,-10.0711,88.92,13,100,10.78,overcast clouds
292,Ketchikan,US,55.3422,-131.6461,37.87,87,1,0.0,clear sky
293,Lata,PT,40.1629,-8.3327,66.92,97,100,6.15,light rain
294,Turukhansk,RU,65.8167,87.9833,8.26,97,99,3.27,overcast clouds
295,Puerto Maldonado,PE,-12.6,-69.1833,99.0,41,40,9.22,scattered clouds
296,Bourail,NC,-21.5667,165.4833,69.75,72,36,1.74,scattered clouds
297,Ancud,CL,-41.8697,-73.8203,71.13,50,2,6.17,clear sky
298,Sibut,CF,5.718,19.0739,77.02,74,19,0.76,few clouds
299,Thessalon,CA,46.2501,-83.5666,48.69,83,100,23.31,overcast clouds
300,Cherskiy,RU,68.75,161.3,-1.14,99,100,4.97,overcast clouds
301,Faanui,PF,-16.4833,-151.75,78.6,69,98,15.1,overcast clouds
302,Itarema,BR,-2.9248,-39.9167,84.02,67,53,16.26,broken clouds
303,Juegang,CN,32.3174,121.1855,62.98,73,98,1.36,overcast clouds
304,Awbari,LY,26.5921,12.7805,73.04,25,5,5.86,clear sky
305,Tukrah,LY,32.5341,20.5791,68.47,74,45,9.6,scattered clouds
306,Bolu,TR,40.6667,31.5833,52.61,75,100,3.33,overcast clouds
307,Balabac,PH,7.9868,117.0645,81.63,80,100,14.61,light rain
308,Victoria,HK,22.2855,114.1577,76.32,82,83,5.99,light rain
309,Prince Rupert,CA,54.3161,-130.3201,51.49,51,97,18.41,overcast clouds
310,Krasnogorskoye,RU,52.2953,86.1979,34.9,80,100,19.42,overcast clouds
311,Meadow Lake,US,34.8014,-106.5436,67.32,27,100,5.1,overcast clouds
312,Santa Rosa,PH,14.3122,121.1114,81.09,83,25,7.96,scattered clouds
313,Iqaluit,CA,63.7506,-68.5145,37.13,69,90,4.0,overcast clouds
314,Millinocket,US,45.6573,-68.7098,62.71,67,40,10.36,scattered clouds
315,Vestnes,NO,62.6264,7.0884,47.71,75,0,8.05,clear sky
316,Lastoursville,GA,-0.8143,12.7287,73.22,98,100,2.13,light rain
317,Denpasar,ID,-8.65,115.2167,78.46,94,75,2.3,moderate rain
318,Nichinan,JP,31.6,131.3667,64.06,87,100,6.82,overcast clouds
319,Henties Bay,NA,-22.116,14.2845,60.85,86,0,9.15,clear sky
320,Miyazu,JP,35.5333,135.1833,54.99,88,100,2.51,overcast clouds
321,Yantzaza,EC,-3.8278,-78.7594,86.9,45,98,5.73,overcast clouds
322,Kapit,MY,2.0167,112.9333,73.51,99,54,0.83,broken clouds
323,Hambantota,LK,6.1241,81.1185,78.57,86,47,2.86,scattered clouds
324,Soubre,CI,5.7856,-6.6083,75.09,94,92,3.24,light rain
325,Kashi,CN,39.4547,75.9797,54.61,22,100,11.18,overcast clouds
326,Mountain Home,US,43.133,-115.6912,53.22,51,58,2.21,broken clouds
327,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,0.0,scattered clouds
328,Amapa,BR,1.0,-52.0,75.74,91,100,4.12,overcast clouds
329,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,88,100,12.39,overcast clouds
330,Veraval,IN,20.9,70.3667,77.86,53,15,2.24,few clouds
331,Tiarei,PF,-17.5333,-149.3333,80.62,73,98,15.14,overcast clouds
332,Tessalit,ML,20.1986,1.0114,86.94,13,2,1.83,clear sky
333,Rognedino,RU,53.8015,33.5576,39.94,88,0,7.23,clear sky
334,Tateyama,JP,34.9833,139.8667,61.02,89,59,12.01,broken clouds
335,Novyy Urengoy,RU,66.0833,76.6333,-0.42,96,18,11.52,few clouds
336,Mackay,AU,-21.15,149.2,76.98,78,40,19.57,scattered clouds
337,Durgapur,IN,23.4833,87.3167,69.39,61,2,1.16,clear sky
338,Haukipudas,FI,65.1765,25.3523,44.15,94,100,9.42,overcast clouds
339,Tuatapere,NZ,-46.1333,167.6833,45.36,74,84,5.91,broken clouds
340,Tyrma,RU,50.0833,132.1667,21.2,68,6,1.28,clear sky
341,Muisne,EC,0.6,-80.0333,84.31,71,40,8.93,scattered clouds
342,Paidha,UG,2.4167,30.9855,62.06,83,54,5.03,light rain
343,Pandamatenga,BW,-18.5278,25.627,85.14,22,35,3.31,scattered clouds
344,Englehart,CA,47.8169,-79.8664,57.22,62,1,4.61,clear sky
345,Bolotnoye,RU,55.6717,84.3981,24.03,93,100,15.26,light snow
346,Murovane,UA,49.5214,22.9367,41.59,76,0,4.09,clear sky
