City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Oistins,BB,2021-10-28 18:38:54,13.0667,-59.5333,86.09,66,40,13.8
185,Mahebourg,MU,2021-10-28 18:38:55,-20.4081,57.7,75.25,83,20,10.36
186,Narsaq,GL,2021-10-28 18:38:55,60.9167,-46.05,32.22,68,96,5.7
187,Koungou,YT,2021-10-28 18:38:55,-12.7336,45.2042,80.31,74,20,11.5
188,Deputatskiy,RU,2021-10-28 18:38:56,69.3,139.9,1.38,98,100,1.59
189,Constitucion,CL,2021-10-28 18:38:56,-35.3333,-72.4167,66.97,59,9,16.82
190,Santa Cruz De La Palma,ES,2021-10-28 18:38:56,28.6835,-17.7642,73.54,68,40,11.5
191,Bhatapara,IN,2021-10-28 18:38:57,21.7333,81.9333,72.14,60,13,6.38
192,Huilong,CN,2021-10-28 18:38:57,31.8111,121.655,63.03,69,100,6.64
193,Kapaa,US,2021-10-28 18:38:16,22.0752,-159.319,78.78,97,90,4.61
194,Kupang,ID,2021-10-28 18:38:57,-10.1667,123.5833,80.62,81,82,5.99
195,Chengde,CN,2021-10-28 18:38:58,40.9725,117.9361,46.47,60,72,0.72
196,Lata,PT,2021-10-28 18:38:58,40.1629,-8.3327,65.05,67,100,5.17
197,Faanui,PF,2021-10-28 18:35:02,-16.4833,-151.75,78.69,80,53,7.67
198,Wattegama,LK,2021-10-28 18:38:59,6.7989,81.4808,76.12,91,78,2.1
199,Palmer,US,2021-10-28 18:38:59,42.1584,-72.3287,57.72,61,20,1.01
200,Mount Isa,AU,2021-10-28 18:38:59,-20.7333,139.5,73.17,94,90,6.91
201,Bairiki,KI,2021-10-28 18:39:00,1.3292,172.9752,80.6,78,20,8.05
202,Whangarei,NZ,2021-10-28 18:39:00,-35.7317,174.3239,58.48,97,37,3.51
203,Meulaboh,ID,2021-10-28 18:39:00,4.1363,96.1285,78.22,87,97,7.11
204,Cintalapa,MX,2021-10-28 18:39:01,16.6951,-93.7272,83.64,69,36,3.15
205,Hofn,IS,2021-10-28 18:35:53,64.2539,-15.2082,42.94,92,100,14.97
206,Kruisfontein,ZA,2021-10-28 18:39:02,-34.0033,24.7314,66.88,83,100,10.78
207,Baruun-Urt,MN,2021-10-28 18:39:02,46.6806,113.2792,38.64,49,100,6.87
208,East London,ZA,2021-10-28 18:39:03,-33.0153,27.9116,67.14,88,20,3.44
209,Saldanha,ZA,2021-10-28 18:39:03,-33.0117,17.9442,62.65,92,0,9.4
210,Saint-Joseph,RE,2021-10-28 18:39:04,-21.3667,55.6167,73.78,76,1,4.41
211,Sao Joao Da Barra,BR,2021-10-28 18:39:04,-21.6403,-41.0511,82.49,80,61,12.95
212,Esperance,AU,2021-10-28 18:39:05,-33.8667,121.9,49.84,73,87,8.52
213,Dali,CN,2021-10-28 18:39:05,25.7,100.1833,54.54,93,6,4.36
214,Santa Vitoria Do Palmar,BR,2021-10-28 18:39:05,-33.5189,-53.3681,78.03,48,0,11.34
215,Ternate,ID,2021-10-28 18:39:06,0.8,127.4,80.58,80,76,3.74
216,Nome,US,2021-10-28 18:35:56,64.5011,-165.4064,17.67,74,40,0.0
